G4_network_standard,记录数,_id,attraction_title,back_Camera,body_color,comment_sum,forward_Camera,good_birth,good_card_support,good_name,good_weight,good_width,goods_detail12,goods_href,id,mobile_memory,手机品牌,mobile_name,moblie_system,network_standard,paras,phone_shop,photo_feature,power_size,previous_price,run_memory
无,1,5be6749d0d8c,【现货速发】6.44英寸超大屏+5300毫安大电池！,1200万-1999万,无,900,500万-799万,无,双卡双待单4G,小米（MI） 小米Max2 手机 金色 全网通(4GB +128GB ),500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,前置摄像头像素：500万-799万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：4000mAh-5999mAh,网络制式：4G LTE全网通,热点：快速充电,",/detail/12718368096,12718368096,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：500万像素,核数：八核,频率：其他,",世纪金联手机专营店,无,4000mAh-5999mAh,￥1799.00,无
无,1,5be6749d0d8c,高端商务智能安全加密 购机赠送5重豪礼轻奢太空精钢 双卡双待,1200万-1999万,无,300,500万-799万,无,双卡双待双4G,铂爵（BIOJUET） V7 高端智能商务手机 轻奢太空精钢 双卡双待 鳄纹皮爵士黑,200.00g,无,"商品毛重：200.00g,系统：安卓（Android）,运行内存：3GB,前置摄像头像素：500万-799万,多卡支持：双卡双待双4G,后置摄像头像素：1200万-1999万,电池容量：3000mAh-3999mAh,机身内存：32GB,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,",/detail/11269249322,11269249322,32GB,other,铂爵（BIOJUET）,安卓（Android）,4G LTE LTE-TDD/LTE-FDD移动联通双4G,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：其他,",SONIM手机专营店,无,3000mAh-3999mAh,￥5999.00,3GB
无,1,5be6749d0d8c,,500万-1199万,无,900,200万-499万,无,双卡双待单4G,中兴（ZTE） A520（BA520) A530  移动4G联通4G 智能老人模式手机 双卡双待单通 BA520玄武灰(2G运存+16G内存),500.00g,无,"商品毛重：500.00g,系统：安卓（Android）,前置摄像头像素：200万-499万,多卡支持：双卡双待单4G,电池容量：2000mAh-2999mAh,后置摄像头像素：500万-1199万,网络制式：4G LTE 移动LTE-TDD,",/detail/18780117159,18780117159,无,中兴,中兴（ZTE）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：500万像素,前置摄像头：200万像素,核数：四核,频率：1.25GHz,",宇航手机专营店,无,2000mAh-2999mAh,￥699.00,无
移动4G+,1,5be6749d0d8c,【赠吃鸡神器+耳机等好礼】  ,1200万-1999万,无,900,1600万-1999万,无,双卡双待单4G,诺基亚（NOKIA） 诺基亚 NOKIA X6 手机 暗夜蓝 6GB+64GB 全网通,500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照，后置双摄像头,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,4G LTE网络特性：移动4G+,热点：人工智能，快速充电,前置摄像头像素：1600万-1999万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,屏幕配置：符合全面屏比例,电池容量：3000mAh-3999mAh,",/detail/30117165864,30117165864,无,诺基亚,诺基亚（NOKIA）,安卓（Android）,4G LTE LTE-TDD/LTE-FDD移动联通双4G,"后置摄像头：500万像素,前置摄像头：1600万像素,核数：八核,频率：1.8GHz,",新松联手机旗舰店,智能拍照，后置双摄像头,3000mAh-3999mAh,￥1999.00,无
其他,1,5be6749d0d8c,柔光自拍，舒适握感，长续航！  ,500万-1199万,无,700,500万-799万,无,双卡双待单4G,华为（HUAWEI） 荣耀 畅玩6  全网通4G手机 双卡双待 老人智能手机 白色,300.00g,8,"商品毛重：300.00g,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,网络制式：4G LTE全网通,4G LTE网络特性：其他,热点：人工智能,前置摄像头像素：500万-799万,后置摄像头像素：500万-1199万,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,",/detail/16323463544,16323463544,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：800万像素,前置摄像头：500万像素,核数：四核,频率：其他,",卓瓦手机专营店,无,3000mAh-3999mAh,0,无
无,1,5be6749e0d8c,6.44英寸屏幕，5300毫安电池，骁龙625处理器！,1200万-1999万,无,300,500万-799万,无,双卡双待单4G,小米（MI） 小米Max2 手机 金色 全网通(4G+64G)标配,0.6kg,7,"商品毛重：0.6kg,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照,电池容量：4000mAh-5999mAh,机身内存：32GB,运行内存：4GB,前置摄像头像素：500万-799万,游戏配置：游戏模式,网络制式：4G LTE全网通,后置摄像头像素：1200万-1999万,老人机配置：智能机（老龄模式）,系统：安卓（Android）,",/detail/11928631976,11928631976,32GB,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：500万像素,核数：八核,频率：以官网信息为准,",佳沪手机旗舰店,智能拍照,4000mAh-5999mAh,￥1599.00,4GB
其他,1,5be6749e0d8c,IP67真三防（可泡水），4000毫安超长待机，下单就送原厂钢化膜  ,1200万-1999万,黑色系,1100,500万-799万,中国大陆,双卡双待双4G,创星 （ATMAN）X5 三防手机 移动联通电信4G 智能老人手机 双卡双待超长待机 黑色 全网通4G,0.6kg,8,"商品毛重：0.6kg,商品产地：中国大陆,货号：X5,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,机身内存：16GB,网络制式：4G LTE全网通,4G LTE网络特性：其他,机身颜色：黑色系,热点：三防手机,运行内存：2GB,前置摄像头像素：500万-799万,电池容量：4000mAh-5999mAh,多卡支持：双卡双待双4G,后置摄像头像素：1200万-1999万,老人机配置：智能机（老龄模式）,",/detail/28322905578,28322905578,16GB,创星,创星,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：1.3GHz,",千索贸易手机专营店,无,4000mAh-5999mAh,￥899.00,2GB
其他,1,5be6749e0d8c,【赠壳膜支架】6.44''大屏/5300mAh 充电宝级的大电量/大像素相机/轻薄全金属/�6�74GB 大内存/骁龙八核处理器！》,1200万-1999万,无,700,500万-799万,无,双卡双待单4G,小米（MI） 小米Max2 全网通3 大屏手机 金色 (4G+128G),450.00g,7,"商品毛重：450.00g,系统：安卓（Android）,电池容量：4000mAh-5999mAh,4G LTE网络特性：其他,前置摄像头像素：500万-799万,机身厚度：薄（7mm-8.5mm）,后置摄像头像素：1200万-1999万,网络制式：4G LTE全网通,多卡支持：双卡双待单4G,",/detail/22320744665,22320744665,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：500万像素,核数：八核,频率：骁龙625八核处理器 最高主频2.0GHz,",华信通手机专营店,无,4000mAh-5999mAh,￥1499.00,无
其他,1,5be6749e0d8c,"【金立手机限时狂欢价！购买即送品牌耳机】
①前置1600W柔光自拍+后置1300W支持PDAF相位对焦
②特有的安全保护系统,保护支付、通信和数据安全
③前置固态指纹,无需按压快速解锁
④更有快付、应用分身、一键标记、分屏等特色功能
◆强烈推荐 作为备用机、老人机的首选◆
◆尊享服务◆有任何疑问联系专属在线客服问您解答◆

",1200万-1999万,无,800,800万-1599万,无,双卡双待单4G,金立（GiONEE） S10C手机 全网通4G 双卡双待 4G+32G 樱花金 官方标配,500.00g,无,"商品毛重：500.00g,系统：安卓（Android）,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：3000mAh-3999mAh,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/16850743917,16850743917,无,金立,金立（GiONEE）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：1600万像素,核数：四核,频率：1.4GHz,",牧申手机旗舰店,无,3000mAh-3999mAh,0,无
其他,1,5be6749e0d8c,【全色现货直发】【京东物流 全国联保】下单送四件套壕礼+运费险！潮流镜面渐变色,2000万及以上,无,600,2000万及以上,无,双卡双待单4G,小米（MI） 小米8青春版手机 梦幻蓝 6G+128G 全网通,180.0kg,7,"商品毛重：180.0kg,系统：安卓（Android）,拍照特点：后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：其他,热点：快速充电,前置摄像头像素：2000万及以上,多卡支持：双卡双待单4G,后置摄像头像素：2000万及以上,机身厚度：薄（7mm-8.5mm）,电池容量：3000mAh-3999mAh,",/detail/32921967814,32921967814,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200+500万像素,前置摄像头：2400万像素,核数：八核,频率：最高主频 650 MHz,",恒大和旗舰店,后置双摄像头,3000mAh-3999mAh,0,无
其他,1,5be6749e0d8c,现货速发，支持移动联通4G ，不支持电信卡,500万以下,无,1300,无,无,双卡双待双4G,诺基亚（NOKIA） 诺基亚2018新款 海外版 8110 4G复刻版手机 滑盖香蕉手机 8110 黑色 官方标配,500.00g,无,"商品毛重：500.00g,多卡支持：双卡双待双4G,前置摄像头像素：无,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,电池容量：1200mAh以下,后置摄像头像素：500万以下,4G LTE网络特性：其他,",/detail/29501113743,29501113743,无,诺基亚,诺基亚（NOKIA）,无,4G LTE LTE-TDD/LTE-FDD移动联通双4G,,华维斯生活馆全球购专营店,无,1200mAh以下,0,无
VOLTE 4G通话,1,5be6749e0d8c,,1200万-1999万,无,300,500万-799万,无,双卡双待双4G,欧奇（OUKI） OKP9 全网通4G 大屏轻奢高档商务智能手机直板 双卡双待 移动联通电信4G 黑色,250.00g,无,"商品毛重：250.00g,系统：安卓（Android）,电池容量：4000mAh-5999mAh,4G LTE网络特性：VOLTE 4G通话,运行内存：3GB,前置摄像头像素：500万-799万,网络制式：4G LTE全网通,后置摄像头像素：1200万-1999万,机身内存：32GB,多卡支持：双卡双待双4G,",/detail/12083921578,12083921578,32GB,other,欧奇（OUKI）,安卓（Android）,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：四核,频率：1.3,",奥美莱手机专营店,无,4000mAh-5999mAh,￥1799.00,3GB
VOLTE 4G通话,1,5be6749e0d8c,,1200万-1999万,黑色系,900,800万-1599万,无,双卡双待单4G,OPPO A3 面部识别手机 R15 A5同款刘海屏 A1 A57升级版 A3骑士黑 4G+128G 全网通,1.0kg,7,"商品毛重：1.0kg,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,网络制式：4G LTE全网通,屏幕配置：符合全面屏比例,4G LTE网络特性：VOLTE 4G通话,热点：人脸识别,运行内存：4GB,前置摄像头像素：800万-1599万,电池容量：3000mAh-3999mAh,机身颜色：黑色系,后置摄像头像素：1200万-1999万,机身内存：128GB,系统：安卓（Android）,",/detail/27226747739,27226747739,128GB,oppo,OPPO,安卓（Android）,4G LTE全网通,"后置摄像头：1600万像素,前置摄像头：800万像素,核数：八核,频率：2.0GHz,",OPPO优品专卖店,无,3000mAh-3999mAh,￥2500.00,4GB
VOLTE 4G通话,1,5be6749e0d8c,前后双镜头，四摄拍照更美，6G大运存，薛之谦推荐高颜值新品！,1200万-1999万,金色系,200,无,无,双卡双待单4G,金立（Gionee） 金立S10L 6GB+64GB版 四摄拍照移动联通电信4G手机双卡双待 樱花金,0.573kg,无,"商品毛重：0.573kg,系统：安卓（Android）,电池容量：3000mAh-3999mAh,4G LTE网络特性：VOLTE 4G通话,运行内存：6GB,网络制式：4G LTE全网通,机身颜色：金色系,后置摄像头像素：1200万-1999万,机身内存：64GB,多卡支持：双卡双待单4G,",/detail/12925415263,12925415263,64GB,金立,金立（Gionee）,安卓（Android）,4G LTE全网通,"后置摄像头：800万像素,前置摄像头：800万像素,核数：八核,频率：其他,",金立金声专卖店,无,3000mAh-3999mAh,￥1999.00,6GB
无,1,5be6749e0d8c,支持wifi 安卓6.0 按键+触屏 3.5英寸 可下载APP 支持微信/QQ,500万以下,红色系,1000,200万-499万,无,无,乐丰（lephone） V5 移动4G 智能按键老人手机 直板老年机 双卡双待 触屏 灰色,380.00g,8,"商品毛重：380.00g,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,电池容量：1200mAh-1999mAh,机身颜色：红色系,运行内存：2GB以下,前置摄像头像素：200万-499万,机身内存：8GB,后置摄像头像素：500万以下,老人机配置：智能机（老龄模式），键盘,游戏配置：游戏模式,",/detail/12439915506,12439915506,8GB,other,乐丰（lephone）,安卓（Android）,无,,乐丰旗舰店,无,1200mAh-1999mAh,￥399.00,2GB以下
无,1,5be6749e0d8c,京东配送    双卡双待   3GB+64GB  5.15英寸大屏,1200万-1999万,无,700,800万-1599万,无,双卡双待单4G,小米（MI） 小米5C  移动版 手机  3G+64G 金色,320.00g,无,"商品毛重：320.00g,系统：安卓（Android）,运行内存：3GB,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：2000mAh-2999mAh,机身内存：64GB,网络制式：4G LTE全网通,",/detail/12498685223,12498685223,64GB,小米,小米（MI）,安卓（Android）,4G LTE全网通,,优爱特手机旗舰店,无,2000mAh-2999mAh,￥899.00,3GB
无,1,5be6749e0d8c,,无,无,1500,无,无,单卡单待,天语（K-TOUCH） F1 移动/联通2G 直板按键 双卡双待 老人手机 红色 标配,0.6kg,无,"商品毛重：0.6kg,多卡支持：单卡单待,网络制式：2G移动/联通,电池容量：1200mAh-1999mAh,",/detail/11679396176,11679396176,无,天语,天语（K-TOUCH）,无,2G移动/联通,"后置摄像头：30万像素,前置摄像头：其他,核数：其他,频率：以厂家为准,",佳沪手机旗舰店,无,1200mAh-1999mAh,0,无
无,1,5be6749f0d8c,誉品卡片手机新品首发！特价238元蓝牙拨号携带方便手机伴侣！,无,无,1600,无,无,无,誉品（YEPEN） N2+ 移动/联通卡片手机 超薄小手机 迷你手机 双卡 黑色,195.00g,7,"商品毛重：195.00g,机身内存：支持内存卡,机身厚度：超薄（7mm以下）,前置摄像头像素：无,后置摄像头像素：无,",/detail/25539335071,25539335071,支持内存卡,other,誉品（YEPEN）,无,无,"后置摄像头：无,前置摄像头：无,核数：其他,频率：1.1,",奥马科技手机专营店,无,无,￥268.00,无
无,1,5be6749f0d8c,徕卡双摄像头！麒麟960芯片！,1200万-1999万,无,600,800万-1599万,无,双卡双待单4G,华为（HUAWEI） 华为 Mate9 全网通4G智能手机 双卡双待 陶瓷白 4G+64G,0.56kg,无,"商品毛重：0.56kg,系统：安卓（Android）,运行内存：4GB,前置摄像头像素：800万-1599万,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,电池容量：4000mAh-5999mAh,机身内存：64GB,网络制式：4G LTE全网通,",/detail/15070725791,15070725791,64GB,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：800万像素,核数：八核,频率：其他,",优爱特手机旗舰店,无,4000mAh-5999mAh,￥3899.00,4GB
无,1,5be6749f0d8c,后置1300万，AI人脸识别！,无,无,1200,无,无,4G以下网络双卡双待,小米（MI） 红米6A 全网通 流沙金 全网通 2GB+16GB,500.00g,无,"商品毛重：500.00g,多卡支持：4G以下网络双卡双待,网络制式：4G LTE全网通,",/detail/29282189374,29282189374,无,小米,小米（MI）,无,4G LTE全网通,"后置摄像头：1300万像素,前置摄像头：500万像素,核数：其他,频率：以官网信息为准,",鹏路网络手机旗舰店,无,无,￥799.00,无
其他,1,5be6749f0d8c,"【下单好礼】下单赠REMAX时尚运动耳机 100元话费卡！
【授权商家】全新正品，含电子发票！
【更多赠品请咨询在线客服】【戳我选购  小米8SE】",1200万-1999万,无,200,500万-799万,无,双卡双待单4G,小米（MI） 小米6X 手机 官方旗舰店 流沙金 全网通4GB RAM+64GB ROM,0.6kg,7,"商品毛重：0.6kg,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,网络制式：4G LTE全网通,4G LTE网络特性：其他,前置摄像头像素：500万-799万,后置摄像头像素：1200万-1999万,多卡支持：双卡双待单4G,电池容量：3000mAh-3999mAh,",/detail/32897740822,32897740822,无,小米,小米（MI）,安卓（Android）,4G LTE全网通,"后置摄像头：2000+1200万像素,前置摄像头：2000万像素,核数：八核,频率：-,",头号卖家旗舰店,后置双摄像头,3000mAh-3999mAh,0,无
其他,1,5be6749f0d8c,【全新原封 国行正品 全国联保 京东物流 快捷安全 好评率高 值得信赖  抢购苹果xs送无线充+1万毫安移动电源+壳+膜+指环扣】,无,无,1200,无,无,单卡单待,Apple 苹果 iPhone Xs 移动联通电信4G手机 金色 64GB,500.00g,无,"商品毛重：500.00g,多卡支持：单卡单待,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/32943757458,32943757458,无,苹果,Apple,无,4G LTE全网通,"后置摄像头：无,前置摄像头：其他,核数：其他,频率：其他,",新松联手机旗舰店,无,无,￥9699.00,无
其他,1,5be6749f0d8c,【正品速发】大屏note系列 部分稀缺颜色机型1-8个工作日发货 特价热销,1200万-1999万,无,500,500万-799万,无,4G以下网络双卡双待,小米（MI） 红米Note5 全面屏 双卡双待 4G 智能手机 金色 全网通  4G+64G,0.57kg,无,"商品毛重：0.57kg,多卡支持：4G以下网络双卡双待,前置摄像头像素：500万-799万,网络制式：4G LTE全网通,后置摄像头像素：1200万-1999万,4G LTE网络特性：其他,",/detail/26385661332,26385661332,无,小米,小米（MI）,无,4G LTE全网通,"后置摄像头：500万像素,前置摄像头：1300万像素,核数：八核,频率：最高1.8GHz,",天环云手机数码旗舰店,无,无,￥1600.00,无
移动4G+,1,5be6749f0d8c,【现货速发赠自拍杆+吃鸡神器等好礼】6.2英寸靓彩全面屏。,1200万-1999万,无,700,800万-1599万,无,双卡双待单4G,联想（Lenovo） 联想 Z5 全面屏双摄手机 舒曼黑 全网通 6GB+64GB,500.00g,7,"商品毛重：500.00g,系统：安卓（Android）,机身厚度：薄（7mm-8.5mm）,拍照特点：智能拍照,电池容量：3000mAh-3999mAh,4G LTE网络特性：移动4G+,前置摄像头像素：800万-1599万,屏幕配置：符合全面屏比例,多卡支持：双卡双待单4G,后置摄像头像素：1200万-1999万,游戏配置：游戏模式,网络制式：4G LTE 移动LTE-TDD,",/detail/28936166539,28936166539,无,联想,联想（Lenovo）,安卓（Android）,4G LTE 移动LTE-TDD,"后置摄像头：1600+800万像素,前置摄像头：800万像素,核数：八核,频率：0,",新松联手机旗舰店,智能拍照,3000mAh-3999mAh,￥1456.00,无
无,1,5be6749f0d8c,京东配送  报姓名读短信 整点报时一键拨号一键收音 盲人手机 特色手机 ,500万以下,金色系,600,无,无,单卡单待,索爱 T618 移动/联通  直板老人手机男 女 老年手机 雅黑色,125.00g,8,"商品毛重：125.00g,多卡支持：单卡单待,机身厚度：普通（8.5mm以上）,网络制式：2G移动/联通,机身颜色：金色系,运行内存：2GB以下,前置摄像头像素：无,机身内存：支持内存卡,电池容量：1200mAh-1999mAh,后置摄像头像素：500万以下,老人机配置：键盘,系统：基础功能机系统,",/detail/12995147139,12995147139,支持内存卡,other,索爱,基础功能机系统,2G移动/联通,"后置摄像头：30万像素,前置摄像头：30万像素,核数：其他,频率：其他,",索爱手机专卖店,无,1200mAh-1999mAh,￥219.00,2GB以下
其他,1,5be6749f0d8c,"【京东好店推荐】官方正品，全国联保，放心购买
【购机好礼】128G加赠荣耀耳机，影视会员，运费险等
【尊享权益】京东仓标准99%订单当天发，南北两仓发货，7天保价，货到付款
前置1600万美妆拍照，指纹+面部双解锁
“小萌脸”全面屏，应用双开（微信 QQ）",无,无,800,无,无,双卡双待单4G,华为（HUAWEI） 荣耀9i 幻夜黑 全网通4G+128G,500.00g,无,"商品毛重：500.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：其他,",/detail/28975606238,28975606238,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：1300+200万像素,前置摄像头：1600万像素,核数：八核,频率：以官网信息为准,",博海宇通手机旗舰店,无,无,0,无
其他,1,5be6749f0d8c,【下单送保护壳+贴膜+指环扣】七天包退换，不喜欢运费我们承担！,500万-1199万,无,700,200万-499万,无,双卡双待单4G,朵唯（DOOV） V11移动联通4G大屏智能机女性学生老年 老人手机双卡双待大字大屏便宜备用 金色 双4G【1G+8GB】,400.00g,8,"商品毛重：400.00g,系统：安卓（Android）,机身厚度：普通（8.5mm以上）,拍照特点：智能拍照,电池容量：2000mAh-2999mAh,4G LTE网络特性：其他,前置摄像头像素：200万-499万,网络制式：4G LTE LTE-TDD/LTE-FDD移动联通双4G,后置摄像头像素：500万-1199万,老人机配置：智能机（老龄模式）,多卡支持：双卡双待单4G,",/detail/24427785110,24427785110,无,朵唯（DOOV）,朵唯（DOOV）,安卓（Android）,4G LTE LTE-TDD/LTE-FDD移动联通双4G,"后置摄像头：500万像素,前置摄像头：200万像素,核数：四核,频率：1.4,",广中达手机专营店,智能拍照,2000mAh-2999mAh,0,无
其他,1,5be6749f0d8c,"【热销低至1619元赠精美礼品】人脸识别,1600万虚化双摄",1200万-1999万,无,1200,2000万及以上,无,双卡双待单4G,华为（HUAWEI） Nova3e 全面屏 手机 铂光金 全网通(4G + 128G),420.00g,7,"商品毛重：420.00g,多卡支持：双卡双待单4G,机身厚度：薄（7mm-8.5mm）,拍照特点：后置双摄像头,电池容量：3000mAh-3999mAh,4G LTE网络特性：其他,热点：人脸识别,前置摄像头像素：2000万及以上,屏幕配置：异形屏,游戏配置：游戏模式,后置摄像头像素：1200万-1999万,网络制式：4G LTE全网通,系统：安卓（Android）,",/detail/26403335456,26403335456,无,华为,华为（HUAWEI）,安卓（Android）,4G LTE全网通,"后置摄像头：200万像素,前置摄像头：2400万像素,核数：八核,频率：以官网信息为准,",茄子手机旗舰店,后置双摄像头,3000mAh-3999mAh,￥2199.00,无
无,1,5be6749f0d8c,【特色手机】畅玩王者 2G大运存 5.5英寸 大屏 全网通，支持7天无理由退货,500万-1199万,无,200,200万-499万,无,双卡双待单4G,奥洛斯（aloes） Q3 5.5英寸2G+16G内存4G移动联通电信三网全网通智能手机 白色,380.00g,无,"商品毛重：380.00g,多卡支持：双卡双待单4G,前置摄像头像素：200万-499万,网络制式：4G LTE全网通,后置摄像头像素：500万-1199万,电池容量：2000mAh-2999mAh,",/detail/11392315318,11392315318,无,other,奥洛斯（aloes）,无,4G LTE全网通,"后置摄像头：500万像素,前置摄像头：200万像素,核数：四核,频率：1.2-1.4,",诺菲手机专营店,无,2000mAh-2999mAh,0,无
VOLTE 4G通话,1,5be6749f0d8c,"5.0英寸！后置500万像素！内置老人模式！T11青春版,T33,T33s,",500万-1199万,无,900,200万-499万,无,双卡双待单4G,小辣椒 红辣椒T33  T11 T33s 移动4G 双卡双待 老人智能手机 金色 T33金色（1GB+8GB）,300.00g,无,"商品毛重：300.00g,多卡支持：双卡双待单4G,前置摄像头像素：200万-499万,网络制式：4G LTE 移动LTE-TDD,电池容量：1200mAh-1999mAh,后置摄像头像素：500万-1199万,4G LTE网络特性：VOLTE 4G通话,",/detail/18069997496,18069997496,无,小辣椒,小辣椒,无,4G LTE 移动LTE-TDD,"后置摄像头：500万像素,前置摄像头：200万像素,核数：四核,频率：以官网信息为准,",天域手机专营店,无,1200mAh-1999mAh,0,无
其他,1,5be6749f0d8c,移动卡专用！不支持联通电信哦 机身大小长9cm +宽3cm+1cm 超长待机  语音报号,无,金色系,1500,无,无,双卡双待单4G,NEWMIND NO.2超小迷你移动小手机男女款袖珍手机移动联通双卡双待学生小手机时尚卡通卡片手机老 黑色,80.00g,无,"商品毛重：80.00g,多卡支持：双卡双待单4G,运行内存：2GB以下,机身颜色：金色系,网络制式：2G移动/联通,机身内存：支持内存卡,4G LTE网络特性：其他,",/detail/27663664990,27663664990,支持内存卡,纽曼,NEWMIND,无,2G移动/联通,"后置摄像头：30万像素,前置摄像头：无,核数：其他,频率：.,",思拓帆手机专营店,无,无,0,2GB以下
移动4G+,1,5be674a00d8c,"

【128G蓝黑6期免息】下单赠价值299元豪华礼包：一年碎屏险+头戴耳机+吃鸡神器 +手机壳
【64G蓝黑6期免息】 下单赠价值199元豪华礼包：一年碎屏险+荣耀原装耳机+1W毫安充电宝+吃鸡神器；
【购机权益】支持全国联保 货到付款 ；支持运费险； 7天无理由退换货 
【店长推荐】新品荣耀8X 128G、64G 蓝黑国庆回馈6期免息 现货速发，福利先拍先享",无,无,800,无,无,双卡双待单4G,华为（HUAWEI） 荣耀8X 手机 幻夜黑 全网通 6GB+128GB【1年碎屏险套装】,500.00g,无,"商品毛重：500.00g,热点：人工智能，人脸识别,拍照特点：智能拍照,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,屏幕配置：符合全面屏比例,4G LTE网络特性：移动4G+,",/detail/32475386317,32475386317,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：2000万像素,前置摄像头：1600万像素,核数：其他,频率：其他,",新松联手机旗舰店,智能拍照,无,￥2099.00,无
无,1,5be674a00d8c,顺丰包邮【送壳膜】两种版本【移动联通4G ，电信4G】 4000毫安大电池 支持老人模式,500万-1199万,无,800,500万-799万,无,双卡双待单4G,中兴（ZTE） 远航4 BA610T 移动联通双4G 智能手机 金色 电信版4G（支持藏文）,300.00g,无,"商品毛重：300.00g,系统：安卓（Android）,前置摄像头像素：500万-799万,多卡支持：双卡双待单4G,电池容量：4000mAh-5999mAh,后置摄像头像素：500万-1199万,网络制式：2G移动/联通,",/detail/18593375944,18593375944,无,中兴,中兴（ZTE）,安卓（Android）,2G移动/联通,"后置摄像头：800万像素,前置摄像头：500万像素,核数：四核,频率：四核,",宇航手机专营店,无,4000mAh-5999mAh,￥599.00,无
无,1,5be674a00d8c,【现货热销】3100mAh电池，掌上FM收音机/MP，送长辈实惠！,无,无,600,无,无,无,飞利浦（PHILIPS） 飞利浦(PHILIPS) E180 移动2G手机 双卡双待 香槟金 标配版,380.00g,8,"商品毛重：380.00g,系统：基础功能机系统,机身厚度：普通（8.5mm以上）,前置摄像头像素：无,后置摄像头像素：无,电池容量：3000mAh-3999mAh,",/detail/10955981228,10955981228,无,飞利浦,飞利浦（PHILIPS）,基础功能机系统,无,"后置摄像头：无,前置摄像头：无,核数：其他,频率：0,",易道手机专营店,无,3000mAh-3999mAh,￥249.00,无
VOLTE 4G通话,1,5be674a00d8c,"【今日下单立减150元！好礼不停 碎屏无忧】下单即送价值399元礼包含一年碎屏险（绑定手机）+好评红包+手机膜+吃鸡神器~！（不要赠品联系在线客服备注可抵100元话费 参与赠品赠送及满减型号以页面实际显示为准） 
【聚捷联盛 京东老店】华为授权店铺原封正品，全国联保，售后无忧，购买更放心~！ 
【现货速发 正品保障】当日18:00前订单尽量安排当日发出，京津冀地区次日达！ 
【体验升级 P20pro】 华为P20pro热卖中，直降500元，豪礼不停~！ ",无,无,1000,无,无,双卡双待单4G,华为（HUAWEI） P20 手机 极光色 碎屏险套装全网通（6G+64G）,500.00g,无,"商品毛重：500.00g,多卡支持：双卡双待单4G,网络制式：4G LTE全网通,4G LTE网络特性：VOLTE 4G通话,",/detail/26660995455,26660995455,无,华为,华为（HUAWEI）,无,4G LTE全网通,"后置摄像头：1200万像素,前置摄像头：2400万像素,核数：其他,频率：以官网信息为准,",聚捷联盛手机旗舰店,无,无,￥4999.00,无
